Date,year,month,day,SPX,MSFT,ret_spx,ret_msft
1/3/2000,2000,1,3,1455.219971,42.115314,,
1/4/2000,2000,1,4,1399.420044,40.692646,-0.038344668,-0.033780301
1/5/2000,2000,1,5,1402.109985,41.121727,0.001922183,0.010544436
1/6/2000,2000,1,6,1403.449951,39.744217,0.000955678,-0.03349835
1/7/2000,2000,1,7,1441.469971,40.263588,0.0270904,0.013067838
1/10/2000,2000,1,10,1457.599976,40.557178,0.011189969,0.0072917
1/11/2000,2000,1,11,1438.560059,39.518398,-0.013062512,-0.025612729
1/12/2000,2000,1,12,1432.25,38.231228,-0.004386372,-0.032571411
1/13/2000,2000,1,13,1449.680054,38.953846,0.012169701,0.01890125
1/14/2000,2000,1,14,1465.150024,40.557178,0.010671299,0.041159787
1/18/2000,2000,1,18,1455.140015,41.663681,-0.006832071,0.027282544
1/19/2000,2000,1,19,1455.900024,38.660282,0.000522293,-0.072086741
1/20/2000,2000,1,20,1445.569946,38.298973,-0.007095321,-0.009345741
1/21/2000,2000,1,21,1441.359985,37.486023,-0.002912319,-0.021226418
1/24/2000,2000,1,24,1401.530029,36.582752,-0.027633594,-0.024096208
1/25/2000,2000,1,25,1410.030029,37.147285,0.0060648,0.015431671
1/26/2000,2000,1,26,1404.089966,35.905289,-0.004212721,-0.033434368
1/27/2000,2000,1,27,1398.560059,35.679459,-0.003938428,-0.006289603
1/28/2000,2000,1,28,1360.160034,35.49881,-0.027456829,-0.005063109
1/31/2000,2000,1,31,1394.459961,35.363297,0.025217567,-0.003817396
2/1/2000,2000,2,1,1409.280029,37.192444,0.010627819,0.051724448
2/2/2000,2000,2,2,1409.119995,36.424679,-0.000113557,-0.020643037
2/3/2000,2000,2,3,1424.969971,37.440842,0.011248138,0.027897651
2/4/2000,2000,2,4,1424.369995,38.502216,-0.000421045,0.028348027
2/7/2000,2000,2,7,1424.23999,38.524776,-9.12719E-05,0.00058594
2/8/2000,2000,2,8,1441.719971,39.721622,0.012273199,0.031066917
2/9/2000,2000,2,9,1411.709961,37.576332,-0.020815422,-0.054008117
2/10/2000,2000,2,10,1416.829956,38.298973,0.003626804,0.019231281
2/11/2000,2000,2,11,1387.119995,36.108521,-0.02096932,-0.057193492
2/14/2000,2000,2,14,1389.939941,35.995617,0.00203295,-0.003126797
2/15/2000,2000,2,15,1402.050049,35.611725,0.008712684,-0.010664965
2/16/2000,2000,2,16,1387.670044,35.272987,-0.010256413,-0.00951198
2/17/2000,2000,2,17,1388.26001,35.995617,0.000425149,0.020486782
2/18/2000,2000,2,18,1346.089966,34.347134,-0.030376186,-0.04579677
2/22/2000,2000,2,22,1352.170044,33.8955,0.004516844,-0.013149103
2/23/2000,2000,2,23,1360.689941,34.05357,0.006300906,0.004663451
2/24/2000,2000,2,24,1353.430054,34.23423,-0.005335445,0.005305171
2/25/2000,2000,2,25,1333.359985,32.99221,-0.01482904,-0.036280062
2/28/2000,2000,2,28,1348.050049,33.082542,0.011017328,0.00273798
2/29/2000,2000,2,29,1366.420044,32.292164,0.013627087,-0.02389109
3/1/2000,2000,3,1,1379.189941,32.811558,0.009345514,0.016084212
3/2/2000,2000,3,2,1381.76001,33.737415,0.001863463,0.028217404
3/3/2000,2000,3,3,1409.170044,34.731037,0.019837044,0.029451634
3/6/2000,2000,3,6,1391.280029,32.743805,-0.012695427,-0.057217756
3/7/2000,2000,3,7,1355.619995,33.556767,-0.025631097,0.024827964
3/8/2000,2000,3,8,1366.699951,34.527786,0.008173349,0.028936608
3/9/2000,2000,3,9,1401.689941,36.131111,0.025601808,0.046435789
3/10/2000,2000,3,10,1395.069946,36.492416,-0.004722867,0.009999831
3/13/2000,2000,3,13,1383.619995,35.408474,-0.008207439,-0.029703213
3/14/2000,2000,3,14,1359.150024,34.369717,-0.017685471,-0.029336396
3/15/2000,2000,3,15,1392.140015,34.460041,0.024272516,0.002628011
3/16/2000,2000,3,16,1458.469971,34.460041,0.047646038,0
3/17/2000,2000,3,17,1464.469971,35.905289,0.0041139,0.041939822
3/20/2000,2000,3,20,1456.630005,35.182652,-0.005353449,-0.020126199
3/21/2000,2000,3,21,1493.869995,37.124695,0.025565854,0.05519888
3/22/2000,2000,3,22,1500.640015,37.305363,0.004531867,0.004866518
3/23/2000,2000,3,23,1527.349976,40.421658,0.017799046,0.083534772
3/24/2000,2000,3,24,1527.459961,40.353931,7.20103E-05,-0.001675513
3/27/2000,2000,3,27,1523.859985,37.59893,-0.002356838,-0.068270945
3/28/2000,2000,3,28,1507.72998,37.689251,-0.010584965,0.002402223
